City,Latitude,Longitude,Max Tem,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph),Country,ID,Date
roxana,10.2753,-83.7513,78.8,76.14,100,0,6.91,CR,3622036,1616077437
yar-sale,66.8333,70.8333,-1.68,-1.68,97,99,6.49,RU,1486321,1616077437
kavieng,-2.5744,150.7967,82.63,82.63,74,4,6.11,PG,2094342,1616077437
gillette,44.2911,-105.5022,28.4,27.36,69,1,13.8,US,5826027,1616077438
lardos,36.0942,28.0157,59.0,59.0,55,40,17.27,GR,408689,1616077438
san policarpo,12.1791,125.5072,81.12,81.12,79,7,7.65,PH,1688696,1616077438
senno,59.5336,33.9167,30.99,30.99,74,100,6.38,RU,497024,1616077439
esperance,-33.8667,121.9,68.0,68.0,52,0,10.36,AU,2071860,1616077439
turukhansk,65.8167,87.9833,-14.3,-14.3,98,72,5.3,RU,1488903,1616077440
aranos,-24.1333,19.1167,89.31,89.31,22,12,4.63,NA,3358666,1616077440
vanimo,-2.6741,141.3028,78.13,78.13,83,98,0.89,PG,2084442,1616077440
cap malheureux,-19.9842,57.6142,81.0,81.0,65,17,4.0,MU,934649,1616077441
belaya gora,68.5333,146.4167,-33.05,-33.05,81,1,5.1,RU,2126785,1616077441
san quintin,30.4833,-115.95,52.97,52.97,90,85,9.62,MX,3984997,1616077441
korla,41.7597,86.1469,42.49,42.49,52,100,3.58,CN,1529376,1616077442
rozmital pod tremsinem,49.602,13.8643,37.0,37.0,70,75,4.0,CZ,3066659,1616077442
alyangula,-13.8483,136.4192,81.39,81.39,76,44,8.79,AU,2079582,1616077442
carauari,-4.8828,-66.8958,74.68,74.68,92,100,1.45,BR,3664659,1616077443
tucurui,-3.7661,-49.6725,80.04,80.04,79,100,3.13,BR,3385935,1616077443
necochea,-38.5473,-58.7368,57.99,57.99,64,52,3.0,AR,3430443,1616077443
sucua,-2.4667,-78.1667,68.0,68.0,94,75,5.75,EC,3650956,1616077444
alice springs,-23.7,133.8833,68.0,68.0,56,67,5.75,AU,2077895,1616077444
tasiilaq,65.6145,-37.6368,37.4,37.4,65,75,13.8,GL,3424607,1616077444
ngunguru,-35.6167,174.5,60.01,60.01,89,64,1.99,NZ,2186111,1616077445
nanakuli,21.3906,-158.1547,71.01,67.77,73,1,5.75,US,5851349,1616077445
charters towers,-20.1,146.2667,73.0,73.0,86,82,6.51,AU,2171722,1616077445
kapoeta,4.7717,33.5903,93.67,93.67,30,55,11.3,SS,372884,1616077446
juneau,58.3019,-134.4197,33.8,27.57,80,90,1.72,US,5554072,1616077446
jalu,29.0331,21.5482,73.26,73.26,23,0,7.02,LY,86049,1616077446
mabama,-5.1333,32.5333,86.0,86.0,39,20,9.22,TZ,155515,1616077447
balakovo,52.0278,47.8007,30.76,30.76,94,97,4.61,RU,579492,1616077447
darnah,32.767,22.6367,57.7,57.7,56,98,8.43,LY,87205,1616077447
tsumeb,-19.2333,17.7167,68.0,68.0,88,75,2.3,NA,3352593,1616077448
marsa matruh,31.3525,27.2453,62.6,62.6,55,20,13.8,EG,352733,1616077282
pevek,69.7008,170.3133,-25.22,-25.22,96,0,3.36,RU,2122090,1616077448
santa luzia,-19.7697,-43.8514,78.8,77.59,61,75,3.44,BR,3450144,1616077448
amahai,-3.3333,128.9167,79.83,79.83,84,93,0.31,ID,1651591,1616077345
flinders,-34.5833,150.8552,69.01,67.82,92,100,5.01,AU,6255012,1616077449
the valley,18.217,-63.0578,82.4,80.15,57,20,17.27,AI,3573374,1616077449
grindavik,63.8424,-22.4338,46.4,46.4,100,90,21.85,IS,3416888,1616077449
dunedin,-45.8742,170.5036,50.0,49.44,87,20,5.19,NZ,2191562,1616077450
